num_lectures,price,days_since_published,content_duration
9,40,2000,0.6333333333333333
10,200,1918,2.0
52,35,3765,3.5
36,25,1791,3.0
98,175,2068,16.5
6,20,1815,0.5666666666666667
16,20,2764,2.0
18,0,1785,1.5
10,25,1980,1.0
64,35,3537,10.0
26,95,2253,2.0
39,95,2212,3.0
20,140,2380,1.5
28,100,2612,3.0
10,50,2157,1.0
17,25,2750,1.5
34,30,2155,3.5
65,150,2010,4.5
12,20,3276,1.0
30,85,2763,2.5
100,50,2758,6.0
13,0,2238,1.0
66,70,2331,6.5
40,50,2436,3.0
13,0,1840,2.0
30,95,2644,2.5
15,0,2784,2.5
9,25,2144,1.0
9,20,2368,1.0
15,200,1895,0.7333333333333333
21,55,2130,1.0
18,40,2612,2.5
18,50,1919,2.0
19,200,2050,1.5
211,200,2525,19.5
67,195,2395,7.0
49,60,2271,3.0
64,50,2148,4.5
74,25,2542,14.0
36,0,1867,5.0
34,25,2354,4.0
8,20,1784,0.5833333333333334
10,40,2088,0.6166666666666667
15,50,2074,0.6666666666666666
96,150,2332,11.0
115,100,2023,11.5
71,50,3033,1.5
126,50,2758,7.5
35,50,2430,2.0
7,50,2206,1.0
60,40,2099,2.0
19,200,1843,2.0
94,50,2270,13.0
33,20,2277,2.0
21,150,1916,2.0
30,145,2492,1.5
23,0,1882,2.0
43,30,1945,2.5
15,45,2283,2.0
72,200,2192,5.5
12,0,2630,1.0
32,20,2525,1.5
21,200,2185,2.0
18,20,2467,1.5
29,105,2792,2.5
27,45,1813,3.5
87,50,3220,47.0
28,20,2748,2.5
36,20,2053,1.0
